all_finite,candidate_id,candidate_ids_json,component,instability_penalty,layer,layers_json,localization_proxy,mean_abs_corruption_margin,mean_decoded_support_delta,mean_margin_distance_recovery,mean_target_margin_delta,mean_target_probability_delta,num_edits,num_prompt_types,num_rows,num_seeds,num_state_labels,pilot_acceptance_status,policy_id,position,positive_recovery_fraction,prompt_type,prompt_type_std,seed_std,selection_source,site_score,source_table,stability_score,state_label,state_label_std,target_role,weighted_margin_distance_recovery
True,L06:mlp:last_subject,,mlp,,6,,,3.0776808063189187,0.0,0.1549380189886154,0.3820325930913289,0.0001280606804859493,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.18386923933325294,causal_trace_summary.csv,,,,target_new,0.18386923933325294
True,L19:hidden:last_subject,,hidden,,19,,,3.0776808063189187,0.0,0.07230607519474695,0.32098388671875,-0.0002383185244809738,12,,12,,,,,last_subject,0.5833333333333334,,,,,0.1834615952731261,causal_trace_summary.csv,,,,target_new,0.1834615952731261
True,L19:hidden:first_subject,,hidden,,19,,,3.0776808063189187,0.0,0.08812860296788587,-0.2779049475987752,-0.000447188654455033,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.18325941941598473,causal_trace_summary.csv,,,,target_new,0.18325941941598473
True,L29:attention:first_answer_mask,,attention,,29,,,4.539591471354167,0.0,0.1972655612494208,0.9459991455078125,0.01418147681116011,12,,12,,,,,first_answer_mask,0.9166666666666666,,,,,0.1815880876619011,causal_trace_summary.csv,,,,target_true,0.1815880876619011
True,L07:hidden:first_subject,,hidden,,7,,,4.539591471354167,0.08333333333333333,0.12411023632007122,1.05322265625,0.07659585324694262,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.18118585577914223,causal_trace_summary.csv,,,,target_true,0.18118585577914223
True,L11:hidden:first_subject,,hidden,,11,,,3.0776808063189187,0.0,0.20779907560560915,-0.5662875572840372,-7.222090891308615e-05,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.18087578684725525,causal_trace_summary.csv,,,,target_new,0.18087578684725525
True,L13:hidden:first_subject,,hidden,,13,,,4.539591471354167,0.08333333333333333,0.14463586961466804,1.2898152669270833,0.07705592544489075,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.1796665620938466,causal_trace_summary.csv,,,,target_true,0.1796665620938466
True,L14:hidden:last_subject,,hidden,,14,,,3.0776808063189187,0.0,0.15188131973467897,0.28880520661671955,0.0008515148485983559,12,,12,,,,,last_subject,0.6666666666666666,,,,,0.17850687300112242,causal_trace_summary.csv,,,,target_new,0.17850687300112242
True,L25:hidden:first_subject,,hidden,,25,,,4.539591471354167,0.08333333333333333,0.14650231789869997,1.1097920735677083,0.045225921373296764,12,,12,,,,,first_subject,0.6666666666666666,,,,,0.17842737417648905,causal_trace_summary.csv,,,,target_true,0.17842737417648905
True,L14:hidden:first_subject,,hidden,,14,,,3.0776808063189187,0.0,0.24137592193489193,-0.6213107506434122,-0.0003756646001538873,12,,12,,,,,first_subject,0.5833333333333334,,,,,0.17696566781132922,causal_trace_summary.csv,,,,target_new,0.17696566781132922
